nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Tersannes,157,200,43
Bouzemont,57,100,43
Celles-sur-Plaine,857,900,43
Valleroy-le-Sec,157,200,43
Censy,57,100,43
La Ferté-Loupière,557,600,43
Soisy-sur-École,1357,1400,43
Orto,57,100,43
Sampolo,57,100,43
Granace,57,100,43
Nurieux-Volognat,1058,1100,42
Saulchery,658,700,42
Quincy-Basse,58,100,42
Cerizy,58,100,42
Montigny-le-Franc,158,200,42
Ville-Savoye,58,100,42
Noroy-sur-Ourcq,158,200,42
Treteau,558,600,42
Saint-Germain-des-Fossés,3658,3700,42
La Rochette,58,100,42
Barras,158,200,42
Saint-Étienne-en-Dévoluy,558,600,42
Saint-Pierre-d'Argençon,158,200,42
Lyas,558,600,42
Champigneulle,58,100,42
Neufmaison,58,100,42
Puilly-et-Charbeaux,258,300,42
Signy-l'Abbaye,1358,1400,42
Flize,1158,1200,42
Lieurac,158,200,42
La Bastide-de-Sérou,958,1000,42
Coutens,158,200,42
Dierrey-Saint-Julien,258,300,42
Urville,158,200,42
Saint-Jean-d'Alcapiès,258,300,42
Montagnol,158,200,42
La Bazoque,158,200,42
Soulangy,258,300,42
Bretteville-le-Rabet,258,300,42
Asnières-en-Bessin,58,100,42
Bernières-d'Ailly,258,300,42
Paulhenc,258,300,42
Lacapelle-Barrès,58,100,42
Ally,658,700,42
Salers,358,400,42
Montbron,2158,2200,42
Bazac,158,200,42
Tonnay-Boutonne,1158,1200,42
Salignac-de-Mirambeau,158,200,42
Tonnay-Charente,7758,7800,42
Antezant-la-Chapelle,358,400,42
Sury-près-Léré,558,600,42
Veaugues,658,700,42
Vitrac-sur-Montane,258,300,42
Meuilley,458,500,42
Aloxe-Corton,158,200,42
Flacey,158,200,42
Magny-lès-Villers,258,300,42
Lamargelle,158,200,42
Esbarres,758,800,42
Treffrin,558,600,42
Saint-Péver,358,400,42
Pontarion,358,400,42
Puyrenier,58,100,42
Clermont-d'Excideuil,258,300,42
Monmarvès,58,100,42
Villars,458,500,42
Orliac,58,100,42
Thonac,258,300,42
Saint-Front-d'Alemps,258,300,42
Longechaux,58,100,42
Battenans-les-Mines,58,100,42
Malans,158,200,42
Montrond-le-Château,558,600,42
Bugny,158,200,42
Lesches-en-Diois,58,100,42
Vieux-Port,58,100,42
Panilleuse,458,500,42
Moulhard,158,200,42
Castelgaillard,58,100,42
Polastron,58,100,42
Touille,258,300,42
Clarac,558,600,42
Lamaguère,58,100,42
Plaisance,1458,1500,42
Caumont,158,200,42
Rouet,58,100,42
Rimou,358,400,42
Louvigné-du-Désert,3758,3800,42
Lignac,558,600,42
Saint-Hilaire-sur-Benaize,358,400,42
Beaumont-Village,258,300,42
Ports,358,400,42
Saunay,658,700,42
Conte,58,100,42
Ivrey,58,100,42
Plénise,58,100,42
Mouscardès,258,300,42
Montoire-sur-le-Loir,4058,4100,42
Couffy,558,600,42
Saint-Rirand,158,200,42
Fontannes,1058,1100,42
Saint-Front,458,500,42
Mézères,158,200,42
La Chapelle-Bertin,58,100,42
Lavau-sur-Loire,758,800,42
Pontcirq,158,200,42
Cadrieu,158,200,42
Saint-Géry,458,500,42
Saint-Chels,158,200,42
Chasseradès,158,200,42
Prinsuéjols,158,200,42
Saint-Frézal-de-Ventalon,158,200,42
Chazé-Henry,858,900,42
Champeaux,358,400,42
Le Plessis-Lastelle,258,300,42
Sainte-Marie-du-Bois,58,100,42
Sermiers,558,600,42
Bazancourt,1958,2000,42
Saint-Saturnin,58,100,42
Nesle-le-Repons,158,200,42
Unchair,158,200,42
Rouécourt,58,100,42
Ozières,58,100,42
Malaincourt-sur-Meuse,58,100,42
Perthes,558,600,42
Ampoigné,558,600,42
Gélaucourt,58,100,42
Dieulouard,4558,4600,42
Sexey-aux-Forges,658,700,42
Bauzemont,158,200,42
Bey-sur-Seille,158,200,42
Mailly-sur-Seille,258,300,42
Rigny-Saint-Martin,58,100,42
Nepvant,58,100,42
Cierges-sous-Montfaucon,58,100,42
Saint-André-en-Barrois,58,100,42
Saint-Pierre-Quiberon,2158,2200,42
Henridorff,658,700,42
Launstroff,258,300,42
Obervisse,158,200,42
Kemplich,158,200,42
Hundling,1358,1400,42
Folkling,1358,1400,42
Rorbach-lès-Dieuze,58,100,42
Saint-Maurice,58,100,42
Billy-Chevannes,358,400,42
Wattignies-la-Victoire,258,300,42
Morbecque,2658,2700,42
Saint-Aybert,358,400,42
Raillencourt-Sainte-Olle,2358,2400,42
Avesnes-le-Sec,1358,1400,42
Frocourt,558,600,42
Le Theil,1858,1900,42
Saint-Ellier-les-Bois,258,300,42
Saint-Paul,658,700,42
Cuinchy,1758,1800,42
Quilen,58,100,42
Tilly-Capelle,158,200,42
Audincthun,658,700,42
La Tour-d'Auvergne,658,700,42
Compains,158,200,42
Égliseneuve-d'Entraigues,458,500,42
Saint-Victor-Montvianeix,258,300,42
Ceilloux,158,200,42
Burosse-Mendousse,58,100,42
Barraute-Camu,158,200,42
Moncaup,158,200,42
Troubat,58,100,42
Lugagnan,158,200,42
Bordères-Louron,158,200,42
Sahorre,358,400,42
Westhouse-Marmoutier,258,300,42
Feldbach,458,500,42
Plainemont,58,100,42
Saint-Martin-du-Tartre,158,200,42
La Chapelle-au-Mans,258,300,42
Cussy-en-Morvan,458,500,42
Flée,558,600,42
Bernay-en-Champagne,458,500,42
Sainte-Reine,158,200,42
Saint-Cassin,758,800,42
Montendry,58,100,42
Champanges,858,900,42
Foucart,358,400,42
Ricarville-du-Val,158,200,42
Varreddes,1858,1900,42
Aulnay-sur-Mauldre,1158,1200,42
Auteuil,858,900,42
Ulcot,58,100,42
Prailles,658,700,42
Maisonnay,258,300,42
Saint-Maulvis,258,300,42
Chuignolles,158,200,42
Jumel,358,400,42
Briquemesnil-Floxicourt,158,200,42
Aizecourt-le-Bas,58,100,42
Long,658,700,42
Villers-Faucon,658,700,42
Maucourt,158,200,42
Cumont,58,100,42
Crestet,458,500,42
Dinsac,258,300,42
Bertrimoutier,358,400,42
Remomeix,458,500,42
Champdray,158,200,42
Saint-Pierremont,158,200,42
Denipaire,258,300,42
Vecoux,958,1000,42
Maxey-sur-Meuse,258,300,42
Chambeugle,58,100,42
Quenne,458,500,42
Percey,258,300,42
Saint-Martin-sur-Ocre,58,100,42
Bussy-en-Othe,758,800,42
Mailly-la-Ville,558,600,42
Lichères-sur-Yonne,58,100,42
Ronquerolles,858,900,42
Saint-Gervais,958,1000,42
Rezza,58,100,42
Cargiaca,58,100,42
Noceta,58,100,42
Cormaranche-en-Bugey,859,900,41
Lhôpital,59,100,41
Saint-Algis,159,200,41
Bézu-le-Guéry,259,300,41
Charmes,1659,1700,41
Lesquielles-Saint-Germain,859,900,41
Saponay,259,300,41
Marizy-Saint-Mard,59,100,41
Dolignon,59,100,41
Artemps,359,400,41
Concevreux,259,300,41
Brie,59,100,41
Vaux-Andigny,959,1000,41
L'Épine-aux-Bois,259,300,41
Sainte-Colombe,59,100,41
La Rochette,59,100,41
Peaugres,1959,2000,41
Tannay,159,200,41
Artaise-le-Vivier,59,100,41
Monthermé,2459,2500,41
Seuil,159,200,41
Esplas-de-Sérou,159,200,41
Bagert,59,100,41
Arabaux,59,100,41
Coussegrey,159,200,41
Mesnil-Lettre,59,100,41
Balnot-sur-Laignes,159,200,41
Verdun-en-Lauragais,259,300,41
Ladern-sur-Lauquet,259,300,41
Montgradail,59,100,41
Saint-Polycarpe,159,200,41
Sonnac-sur-l'Hers,159,200,41
Montpeyroux,559,600,41
Bozouls,2759,2800,41
Saint-Germain-de-Montgommery,159,200,41
Le Fournet,59,100,41
Le Reculey,259,300,41
Le Plessis-Grimoult,359,400,41
Pailherols,159,200,41
Lugarde,159,200,41
Saint-Constant,559,600,41
Montmoreau-Saint-Cybard,1059,1100,41
Saint-Julien-de-l'Escap,859,900,41
Saint-Germain-du-Seudre,359,400,41
Bresdon,259,300,41
Saint-Georges-des-Agoûts,259,300,41
Saint-Thomas-de-Conac,559,600,41
Preuilly,459,500,41
Foëcy,2059,2100,41
Savigny-en-Septaine,659,700,41
Aubinges,359,400,41
Villabon,559,600,41
Neuvy-le-Barrois,159,200,41
Bouix,159,200,41
Lucey,59,100,41
Painblanc,159,200,41
Thomirey,59,100,41
Plouguernével,1759,1800,41
Kergrist-Moëlou,659,700,41
Banize,159,200,41
Anzême,559,600,41
Saint-Hilaire-le-Château,259,300,41
Saint-Quentin-la-Chabanne,359,400,41
Escoire,459,500,41
Lalinde,2959,3000,41
Villefranche-du-Périgord,759,800,41
Sauvagney,159,200,41
Barsac,159,200,41
Barcelonne,359,400,41
Cahaignes,359,400,41
Saint-Léger-du-Gennetey,159,200,41
Croth,1259,1300,41
La Pyle,159,200,41
Noards,59,100,41
Authevernes,359,400,41
Beaumont-les-Autels,459,500,41
Hanvec,1959,2000,41
Carhaix-Plouguer,7659,7700,41
Valleraugue,1059,1100,41
Bordezac,359,400,41
Lafitte-Vigordane,1059,1100,41
Goutevernisse,159,200,41
Bachas,59,100,41
Taybosc,59,100,41
Nizas,159,200,41
Nérigean,859,900,41
Saint-Exupéry,159,200,41
Sainte-Radegonde,459,500,41
Épeigné-sur-Dême,159,200,41
Saint-Pierre-d'Entremont,559,600,41
Corrençon-en-Vercors,359,400,41
Auberives-en-Royans,359,400,41
Pretin,59,100,41
Entre-deux-Monts,159,200,41
Amou,1559,1600,41
Maurrin,459,500,41
La Talaudière,6459,6500,41
Saint-Priest-la-Prugne,459,500,41
La Chambonie,59,100,41
Belleroche,259,300,41
Berbezit,59,100,41
Beaugency,7659,7700,41
Ramoulu,259,300,41
Faverelles,159,200,41
Conflans-sur-Loing,359,400,41
Fargues,159,200,41
Fauillet,859,900,41
Saint-Georges-de-Lévéjac,259,300,41
Le Plessis-Macé,1259,1300,41
Aubigné-sur-Layon,359,400,41
Marcé,859,900,41
Herqueville,159,200,41
Bellefontaine,159,200,41
Buais,559,600,41
Congy,259,300,41
Maffrécourt,59,100,41
Selles,359,400,41
Pocancy,159,200,41
Brandonvillers,159,200,41
Dommarien,159,200,41
Fontaines-sur-Marne,159,200,41
Pettonville,59,100,41
Nançois-le-Grand,59,100,41
Azannes-et-Soumazannes,159,200,41
Broussey-en-Blois,59,100,41
Tréal,659,700,41
Remungol,959,1000,41
Loutzviller,159,200,41
Bisten-en-Lorraine,259,300,41
Charleville-sous-Bois,259,300,41
Falck,2559,2600,41
Saint-Agnan,159,200,41
Alligny-en-Morvan,659,700,41
Monceaux-le-Comte,159,200,41
Chazeuil,59,100,41
Pougues-les-Eaux,2459,2500,41
Obrechies,259,300,41
Drincham,259,300,41
Boussois,3259,3300,41
Rouvignies,659,700,41
Fontaine-Bonneleau,259,300,41
Raray,159,200,41
Omécourt,159,200,41
Réveillon,359,400,41
Rônai,159,200,41
La Courbe,59,100,41
Mont-Ormel,59,100,41
Tanville,259,300,41
Souastre,359,400,41
La Herlière,159,200,41
Torcy,159,200,41
Ostreville,259,300,41
Sainte-Catherine,59,100,41
Saint-Girons-en-Béarn,159,200,41
Méharin,259,300,41
Borce,159,200,41
Sarrouilles,559,600,41
Pinas,459,500,41
Tuzaguet,459,500,41
Labassère,259,300,41
Hohfrankenheim,259,300,41
Vendenheim,5559,5600,41
Donnenheim,259,300,41
Neuhaeusel,359,400,41
Neubois,659,700,41
Helfrantzkirch,759,800,41
Schwoben,259,300,41
Kientzheim,759,800,41
Monsols,959,1000,41
Betaucourt,159,200,41
Vallerois-le-Bois,259,300,41
Passavant-la-Rochère,659,700,41
Colombotte,59,100,41
Secenans,159,200,41
Saint-Martin-du-Lac,259,300,41
Fourneaux,759,800,41
Monthion,459,500,41
Allèves,359,400,41
Usinens,359,400,41
Fontaine-en-Bray,159,200,41
Cailleville,259,300,41
Servaville-Salmonville,1059,1100,41
Omonville,259,300,41
Sauqueville,359,400,41
Rogerville,1259,1300,41
Congis-sur-Thérouanne,1759,1800,41
La Chapelle-Iger,159,200,41
Saint-Germain-sur-École,359,400,41
Saint-Ouen-sur-Morin,559,600,41
Adainville,759,800,41
Saint-Marc-la-Lande,359,400,41
Noyelles-en-Chaussée,259,300,41
Yvrencheux,159,200,41
Bergicourt,159,200,41
Sainte-Segrée,59,100,41
Cayriech,259,300,41
Curzon,459,500,41
La Roche-Posay,1559,1600,41
Champniers,359,400,41
Pont-sur-Madon,159,200,41
Raon-sur-Plaine,159,200,41
Ameuvelle,59,100,41
Fignévelle,59,100,41
Ahéville,59,100,41
Madecourt,59,100,41
Fraize,3059,3100,41
Hautmougey,159,200,41
Attigny,259,300,41
Saint-Privé,559,600,41
Courson-les-Carrières,859,900,41
Olivese,259,300,41
Nocario,59,100,41
Rogliano,559,600,41
Castifao,159,200,41
Servignat,160,200,40
Maast-et-Violaine,160,200,40
Chézy-en-Orxois,360,400,40
Vaudesson,260,300,40
Mont-d'Origny,860,900,40
Chamouille,260,300,40
Boucé,560,600,40
Ferrières-sur-Sichon,560,600,40
Sazeret,160,200,40
Molinet,1160,1200,40
Malijai,1960,2000,40
La Bollène-Vésubie,560,600,40
Gars,60,100,40
Lalouvesc,460,500,40
Mariac,660,700,40
Saint-Julien-du-Gua,160,200,40
Labégude,1360,1400,40
Tremblois-lès-Rocroi,160,200,40
La Chapelle,160,200,40
Banogne-Recouvrance,160,200,40
Maubert-Fontaine,1060,1100,40
Bourcq,60,100,40
Étrépigny,260,300,40
Sabarat,360,400,40
Baulou,160,200,40
Ercé,560,600,40
Dommartin-le-Coq,60,100,40
Brienne-le-Château,3060,3100,40
Montmartin-le-Haut,60,100,40
Avreuil,160,200,40
Puilaurens,260,300,40
Morlhon-le-Haut,560,600,40
Fayet,260,300,40
Pierrefitte-en-Cinglais,260,300,40
Basseneville,260,300,40
Soumont-Saint-Quentin,560,600,40
Saint-Illide,660,700,40
Le Monteil,260,300,40
Linars,2060,2100,40
Édon,260,300,40
Fouquebrune,660,700,40
Tugéras-Saint-Maurice,360,400,40
Annezay,160,200,40
Montguyon,1460,1500,40
Le Noyer,260,300,40
Branceilles,260,300,40
Saint-Hilaire-les-Courbes,160,200,40
Villotte-Saint-Seine,60,100,40
Sainte-Colombe,60,100,40
Massingy,160,200,40
Boudreville,60,100,40
Saint-Seine-l'Abbaye,360,400,40
Buffon,160,200,40
Saint-Guen,460,500,40
Saint-Gouéno,660,700,40
Janaillat,360,400,40
Bord-Saint-Georges,360,400,40
Montboucher,360,400,40
Ars,260,300,40
Savignac-de-Miremont,160,200,40
Saint-Aulaye,1360,1400,40
Saint-Paul-de-Serre,260,300,40
Vaunac,260,300,40
Saint-Pierre-de-Côle,460,500,40
Champlive,260,300,40
Étouvans,760,800,40
Vaux-les-Prés,360,400,40
Franois,1860,1900,40
Belmont,60,100,40
Sancey-le-Long,360,400,40
Froidevaux,60,100,40
Saint-Andéol,60,100,40
Gas,760,800,40
Louvilliers-lès-Perche,160,200,40
Châtillon-en-Dunois,760,800,40
Lannéanou,360,400,40
Bez-et-Esparon,360,400,40
Lunax,60,100,40
Monestrol,60,100,40
Nénigan,60,100,40
Aulon,360,400,40
Frontignan-Savès,60,100,40
Saint-Christaud,260,300,40
Martisserre,60,100,40
Seysses-Savès,260,300,40
Aux-Aussat,260,300,40
Saint-Estèphe,1660,1700,40
Cars,1160,1200,40
Gensac,860,900,40
Saint-Aubin-de-Branne,360,400,40
Étauliers,1660,1700,40
Vouillon,260,300,40
Thevet-Saint-Julien,460,500,40
Saint-Martin-de-Clelles,160,200,40
Saint-Paul-lès-Monestier,260,300,40
Vertrieu,660,700,40
Ruffey-sur-Seille,760,800,40
Buvilly,360,400,40
Avignon-lès-Saint-Claude,360,400,40
Bois-de-Gand,60,100,40
Cogna,260,300,40
Serres-Gaston,360,400,40
Losse,260,300,40
Lissac,260,300,40
Montcorbon,460,500,40
Mardié,2560,2600,40
Mézières-en-Gâtinais,260,300,40
Duravel,960,1000,40
Grandrieu,760,800,40
Barjac,660,700,40
Prévenchères,260,300,40
Seiches-sur-le-Loir,2960,3000,40
La Pellerine,160,200,40
Morville,260,300,40
Montpinchon,560,600,40
Montmartin-en-Graignes,560,600,40
Tocqueville,260,300,40
Gonfreville,160,200,40
Gorges,360,400,40
Remilly-sur-Lozon,660,700,40
Écury-sur-Coole,460,500,40
Châlons-sur-Vesle,160,200,40
Savigny-sur-Ardres,260,300,40
Palaiseul,60,100,40
Autigny-le-Grand,160,200,40
Brachay,60,100,40
Mathons,60,100,40
Vauxbons,60,100,40
Poinson-lès-Grancey,60,100,40
Livré-la-Touche,760,800,40
Clérey-sur-Brenon,60,100,40
Montreux,60,100,40
Bathelémont,60,100,40
Fléville-devant-Nancy,2360,2400,40
Noviant-aux-Prés,260,300,40
Tiercelet,660,700,40
Reillon,60,100,40
Brainville,160,200,40
Iré-le-Sec,160,200,40
Maucourt-sur-Orne,60,100,40
Saint-Pierrevillers,160,200,40
Charny-sur-Meuse,560,600,40
Savonnières-en-Perthois,460,500,40
Villers-devant-Dun,60,100,40
Saint-Aignan,660,700,40
Rochefort-en-Terre,660,700,40
Etting,760,800,40
Fossieux,160,200,40
Aube,260,300,40
Solgne,1060,1100,40
Dalem,660,700,40
Bourdonnay,260,300,40
Marsal,260,300,40
Servigny-lès-Raville,360,400,40
Onlay,160,200,40
Tracy-sur-Loire,960,1000,40
Neuville-sur-Escaut,2560,2600,40
Esnes,660,700,40
Lieu-Saint-Amand,1260,1300,40
Blécourt,360,400,40
Bailleul-le-Soc,660,700,40
Montépilloy,160,200,40
Saint-Cyr-la-Rosière,260,300,40
Saint-Didier-sous-Écouves,160,200,40
Saint-Germain-de-Clairefeuille,160,200,40
Aunou-sur-Orne,260,300,40
Joué-du-Plain,260,300,40
La Thieuloye,460,500,40
Haut-Loquin,160,200,40
Plouvain,460,500,40
Prondines,260,300,40
Saint-Étienne-sur-Usson,260,300,40
Larreule,160,200,40
Saint-Jean-le-Vieux,860,900,40
Lys,360,400,40
Argelos,260,300,40
Castet,160,200,40
Bareilles,60,100,40
Devèze,60,100,40
Armenteule,60,100,40
Aucun,260,300,40
Pézilla-de-Conflent,60,100,40
Maury,860,900,40
Triembach-au-Val,460,500,40
Sparsbach,260,300,40
Urbès,460,500,40
Elbach,260,300,40
Dampierre-lès-Conflans,260,300,40
Éhuns,260,300,40
Crevans-et-la-Chapelle-lès-Granges,260,300,40
Lieffrans,60,100,40
Berzé-le-Châtel,60,100,40
Châtenay,160,200,40
Épertully,60,100,40
Saint-Didier-en-Bresse,160,200,40
Vindecy,260,300,40
La Racineuse,160,200,40
Bourbon-Lancy,5260,5300,40
Passy,60,100,40
Saint-Rémy-de-Sillé,760,800,40
Saint-Pierre-de-Chevillé,360,400,40
Souligné-sous-Ballon,1160,1200,40
Longnes,360,400,40
Tournon,560,600,40
Montaimont,160,200,40
Longueil,560,600,40
Lintot,460,500,40
Ermenouville,160,200,40
Saint-Ouen-du-Breuil,760,800,40
Brametot,160,200,40
Treuzy-Levelay,460,500,40
Blandy,760,800,40
Rochefort-en-Yvelines,960,1000,40
Saint-Aubin-le-Cloud,1760,1800,40
Vron,860,900,40
Ferrières,460,500,40
Machiel,160,200,40
Estrébœuf,260,300,40
Brassac,260,300,40
Auvillar,960,1000,40
Tréjouls,260,300,40
Cherves,560,600,40
Champagnac-la-Rivière,560,600,40
Châteauponsac,2160,2200,40
Mézières-sur-Issoire,860,900,40
Saint-Mathieu,1160,1200,40
Beaumont-du-Lac,160,200,40
Lesseux,160,200,40
Gigney,60,100,40
Pallegney,160,200,40
Étigny,760,800,40
Annay-la-Côte,360,400,40
Courgis,260,300,40
Germigny,560,600,40
Saint-Escobille,460,500,40
Authon-la-Plaine,360,400,40
Videlles,660,700,40
Le Val-Saint-Germain,1460,1500,40
Sagy,1160,1200,40
Cristinacce,60,100,40
Saint-Sorlin-en-Bugey,1061,1100,39
Souclin,261,300,39
Cuirieux,161,200,39
Beaumont-en-Beine,161,200,39
Chaudun,261,300,39
Arronnes,361,400,39
Chezelle,161,200,39
Oppedette,61,100,39
Montclar,461,500,39
Gigors,61,100,39
Montbrand,61,100,39
Viviers,3861,3900,39
Le Plagnal,61,100,39
Chatel-Chéhéry,161,200,39
Bièvres,61,100,39
Villers-le-Tilleul,261,300,39
Contrazy,61,100,39
Prayols,361,400,39
Alliat,61,100,39
Allières,61,100,39
Saint-Martin-d'Oydes,261,300,39
Montels,161,200,39
Thieffrain,161,200,39
Jeugny,461,500,39
Poivres,161,200,39
Conilhac-de-la-Montagne,61,100,39
Jonquières,61,100,39
Tauriac-de-Camarès,61,100,39
Villefranche-de-Panat,761,800,39
Arles,52661,52700,39
Litteau,261,300,39
Maisoncelles-Pelvey,261,300,39
Saint-Martin-des-Besaces,1161,1200,39
Dienne,261,300,39
Tusson,261,300,39
Theil-Rabier,161,200,39
Gardes-le-Pontaroux,261,300,39
Aignes-et-Puypéroux,261,300,39
Louzignac,161,200,39
Mazerolles,261,300,39
Nohant-en-Goût,561,600,39
Bannegon,261,300,39
Corrèze,1161,1200,39
Sainte-Marie-Lapanouze,61,100,39
Chaumeil,161,200,39
Fleurey-sur-Ouche,1161,1200,39
Vianges,61,100,39
Gevrey-Chambertin,3061,3100,39
Brazey-en-Morvan,161,200,39
Marcigny-sous-Thil,61,100,39
Bligny-le-Sec,161,200,39
Éguilly,61,100,39
Barges,461,500,39
Veilly,61,100,39
Saint-Quay-Perros,1461,1500,39
Languédias,461,500,39
Saint-Victor-en-Marche,361,400,39
Royère-de-Vassivière,561,600,39
Puy-Malsignat,161,200,39
Lavaveix-les-Mines,761,800,39
Saint-André-de-Double,161,200,39
Saint-Louis-en-l'Isle,261,300,39
Busserolles,561,600,39
Sagelat,361,400,39
Montancy,161,200,39
Orsans,161,200,39
Cussey-sur-Lison,61,100,39
Chaux-Neuve,261,300,39
Le Val-David,761,800,39
Saint-Aquilin-de-Pacy,561,600,39
Sainte-Croix-sur-Aizier,261,300,39
Muids,861,900,39
Bazoches-en-Dunois,261,300,39
Mézières-en-Drouais,1061,1100,39
Serville,361,400,39
Esparron,61,100,39
Franquevielle,361,400,39
Cier-de-Rivière,261,300,39
Gondrin,1161,1200,39
Miramont-d'Astarac,361,400,39
Mascaras,61,100,39
Roquepine,61,100,39
Boulaur,161,200,39
Avensac,61,100,39
Saint-Pey-d'Armens,261,300,39
Saint-Philippe-du-Seignal,461,500,39
Juillac,261,300,39
Puisseguin,861,900,39
Cambon-et-Salvergues,61,100,39
Buzignargues,261,300,39
Montreuil-sous-Pérouse,1061,1100,39
Le Menoux,461,500,39
Marcilly-sur-Vienne,561,600,39
Pillemoine,61,100,39
Lac-des-Rouges-Truites,361,400,39
Sergenaux,61,100,39
Montmorot,3061,3100,39
Ladoye-sur-Seille,61,100,39
Arthenas,161,200,39
Miramont-Sensacq,361,400,39
Tercis-les-Bains,1161,1200,39
Talcy,261,300,39
Saint-Nizier-sous-Charlieu,1661,1700,39
La Chapelle-Villars,561,600,39
Saint-Germain-Lespinasse,1161,1200,39
Goudet,61,100,39
Salzuit,361,400,39
Saint-Cirgues,161,200,39
Bonnœuvre,561,600,39
Préfontaines,461,500,39
Rouffilhac,161,200,39
Soturac,661,700,39
Espédaillac,261,300,39
Leyme,961,1000,39
Bournel,261,300,39
Contigné,761,800,39
Le Mesnil-Vigot,261,300,39
Perques,161,200,39
Saint-Jores,361,400,39
Montbré,261,300,39
Boursault,461,500,39
Chichey,161,200,39
Verzenay,1061,1100,39
Boulay-les-Ifs,161,200,39
Ménil,961,1000,39
Saint-Loup-du-Gast,361,400,39
Andouillé,2261,2300,39
Leintrey,161,200,39
Blémerey,61,100,39
Gélacourt,161,200,39
Houdelaincourt,361,400,39
Lachalade,61,100,39
Bislée,61,100,39
Varennes-en-Argonne,661,700,39
Marville,561,600,39
Locmariaquer,1661,1700,39
Oberdorff,361,400,39
Novéant-sur-Moselle,1961,2000,39
Jouy-aux-Arches,1561,1600,39
Many,261,300,39
Leyviller,461,500,39
Oriocourt,61,100,39
Thimonville,161,200,39
Challement,61,100,39
Bazoches,161,200,39
Brinay,161,200,39
Cizely,61,100,39
Aibes,361,400,39
Fromelles,861,900,39
Beaufort,961,1000,39
Potelle,361,400,39
Moustier-en-Fagne,61,100,39
Capelle,161,200,39
Beaumont-les-Nonains,361,400,39
Le Vauroux,461,500,39
Neuilly-sous-Clermont,1661,1700,39
Chèvreville,461,500,39
Saint-Valery,61,100,39
Oursel-Maison,261,300,39
Maimbeville,361,400,39
Canny-sur-Matz,361,400,39
Ménil-Vin,61,100,39
Glos-la-Ferrière,561,600,39
Saint-Denis-sur-Huisne,61,100,39
Hamelincourt,261,300,39
Léchelle,61,100,39
Guémappe,361,400,39
Quiestède,661,700,39
Busnes,1261,1300,39
Le Quesnoy-en-Artois,361,400,39
Quelmes,561,600,39
Noyelles-lès-Humières,61,100,39
Ancizes-Comps,1761,1800,39
Saulzet-le-Froid,261,300,39
La Cellette,161,200,39
La Sauvetat,661,700,39
Courpière,4461,4500,39
Grandeyrolles,61,100,39
Pagolle,261,300,39
Ainhice-Mongelos,161,200,39
L'Hôpital-d'Orion,161,200,39
Azet,161,200,39
Camparan,61,100,39
Trilla,61,100,39
Boule-d'Amont,61,100,39
Schwenheim,661,700,39
Sternenberg,161,200,39
Saint-Mamert,61,100,39
Courzieu,1161,1200,39
Chancey,161,200,39
Villers-Vaudey,61,100,39
Melin,61,100,39
Villars-le-Pautel,161,200,39
Ainvelle,161,200,39
Le Villars,261,300,39
Saint-Léger-sous-la-Bussière,261,300,39
Clessy,261,300,39
Cortevaix,261,300,39
Buffières,261,300,39
Massy,61,100,39
Saint-Symphorien-de-Marmagne,861,900,39
Saint-Maurice-des-Champs,61,100,39
Saint-Rémy-du-Val,561,600,39
Saint-Symphorien,561,600,39
Piacé,361,400,39
La Chartre-sur-le-Loir,1461,1500,39
Lombron,1961,2000,39
La Côte-d'Aime,861,900,39
Grésy-sur-Isère,1261,1300,39
Montricher-Albanne,661,700,39
Apremont,961,1000,39
Villard-sur-Doron,661,700,39
Villarembert,261,300,39
Anquetierville,361,400,39
Sandouville,761,800,39
Longmesnil,61,100,39
Bernières,661,700,39
Bellengreville,461,500,39
Le Mesnil-Amelot,861,900,39
Charmentray,261,300,39
Bussières,461,500,39
Montainville,561,600,39
Saint-Coutant,261,300,39
Oiron,961,1000,39
Saint-Riquier,1261,1300,39
Villers-Tournelle,161,200,39
La Chaussée-Tirancourt,661,700,39
Thièvres,61,100,39
Eppeville,1861,1900,39
Lédas-et-Penthiès,161,200,39
Auterive,61,100,39
Puygaillard-de-Lomagne,61,100,39
Aiguines,261,300,39
Goult,1161,1200,39
Moissannes,361,400,39
Gemmelaincourt,161,200,39
Puzieux,161,200,39
Rancourt,61,100,39
Trévilly,61,100,39
Compigny,161,200,39
La Chapelle-sur-Oreuse,561,600,39
Malicorne,161,200,39
Maisse,2661,2700,39
Longjumeau,21361,21400,39
Villers-en-Arthies,461,500,39
Arbori,61,100,39
Cargèse,1161,1200,39
Ambiegna,61,100,39
Ucciani,461,500,39
Zévaco,61,100,39
Bustanico,61,100,39
Montrevel-en-Bresse,2362,2400,38
Chevillard,162,200,38
Caumont,562,600,38
Le Sourd,162,200,38
Leuze,162,200,38
Marigny-en-Orxois,462,500,38
Cœuvres-et-Valsery,462,500,38
Blérancourt,1262,1300,38
Saint-Pierremont,62,100,38
Pargnan,62,100,38
Nouvion-le-Vineux,162,200,38
Mercy,262,300,38
Laprugne,362,400,38
Mariol,762,800,38
Clans,562,600,38
La Roquette-sur-Siagne,4962,5000,38
Limony,762,800,38
Chilly,162,200,38
Matton-et-Clémency,462,500,38
Lassur,62,100,38
Saint-Julien-de-Gras-Capou,62,100,38
Antras,62,100,38
Chacenay,62,100,38
Javernant,162,200,38
Fourtou,62,100,38
