nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Lillebonne,8944,9300,356
Castillon-la-Bataille,3045,3400,355
Quimper,63550,63900,350
Morez,5154,5500,346
Le Tréport,5255,5600,345
Flers,15356,15700,344
Mers-les-Bains,2960,3300,340
Saint-Laurent-du-Var,29963,30300,337
Sarrebourg,12565,12900,335
Orsay,15966,16300,334
L'Union,11868,12200,332
Mourenx,7068,7400,332
Hem,17369,17700,331
Avion,17271,17600,329
Saint-Just-Saint-Rambert,14172,14500,328
Montceau-les-Mines,19372,19700,328
Saint-Avold,16273,16600,327
Harnes,12373,12700,327
Coudekerque-Branche,22474,22800,326
Talant,11475,11800,325
Montbéliard,25875,26200,325
L'Aigle,7975,8300,325
Le Chesnay,28975,29300,325
Oignies,9877,10200,323
Noyon,13478,13800,322
Fougères,19779,20100,321
Séméac,4679,5000,321
Kingersheim,12779,13100,321
Château-Thierry,14480,14800,320
Val-de-Reuil,13380,13700,320
Libercourt,8580,8900,320
Berre-l'Étang,13582,13900,318
Strasbourg,271782,272100,318
Colombelles,5585,5900,315
Èze,2686,3000,314
Salouël,4186,4500,314
Fourmies,12687,13000,313
La Flèche,15087,15400,313
Puget-sur-Argens,6587,6900,313
Blois,46492,46800,308
Behren-lès-Forbach,8193,8500,307
Vieux-Condé,10494,10800,306
Modane,3495,3800,305
Gentilly,17097,17400,303
Triel-sur-Seine,11598,11900,302
La Motte-Servolex,11101,11400,299
Digoin,8303,8600,297
Verneuil-sur-Avre,6205,6500,295
Fontainebleau,15107,15400,293
Bruay-la-Buissière,23408,23700,292
Enghien-les-Bains,11809,12100,291
Forbach,21510,21800,290
Beauvais,54711,55000,289
Gueugnon,7512,7800,288
Courcouronnes,13812,14100,288
Revin,7214,7500,286
Marly-le-Roi,16614,16900,286
Val-de-Meuse,1918,2200,282
Verrières-le-Buisson,15418,15700,282
Lanester,22219,22500,281
Sucy-en-Brie,25820,26100,280
Bayeux,13222,13500,278
Romilly-sur-Seine,13526,13800,274
Claye-Souilly,11026,11300,274
Saint-Pierre-des-Corps,15227,15500,273
Saint-Martin-Boulogne,11230,11500,270
La Garde,25930,26200,270
Chartres,38931,39200,269
Ecquevilly,3931,4200,269
La Trinité,10332,10600,268
Chambray-lès-Tours,10733,11000,267
Villiers-le-Bel,26736,27000,264
Évreux,50537,50800,263
Saint-Estève,10838,11100,262
Châteaudun,13640,13900,260
Tournefeuille,25340,25600,260
Montigny-lès-Metz,22540,22800,260
Mâcon,34040,34300,260
Wattrelos,41541,41800,259
Cenon,22242,22500,258
Saint-Jean-de-Maurienne,8242,8500,258
Sully-sur-Loire,5443,5700,257
Bollène,13843,14100,257
Aubusson,3844,4100,256
Querqueville,5244,5500,256
Bagnols-sur-Cèze,18245,18500,255
Le Lavandou,5546,5800,254
Ermont,27446,27700,254
Saint-Dié-des-Vosges,21447,21700,253
Luxeuil-les-Bains,7248,7500,252
Lavaur,10148,10400,252
Sartrouville,51150,51400,250
Saint-Mandrier-sur-Mer,5750,6000,250
Beuvrages,6652,6900,248
Carvin,17152,17400,248
Graulhet,11955,12200,245
Sin-le-Noble,16257,16500,243
Saint-Loup-sur-Semouse,3460,3700,240
Gradignan,23063,23300,237
Ludres,6463,6700,237
Maromme,11363,11600,237
Auriol,11764,12000,236
Tonneins,8965,9200,235
Bonsecours,6567,6800,233
Noirmoutier-en-l'Île,4567,4800,233
Miramas,25368,25600,232
Le Pont-de-Claix,11268,11500,232
Jacob-Bellecombette,3968,4200,232
Ozoir-la-Ferrière,20268,20500,232
Privas,8369,8600,231
Rivesaltes,8169,8400,231
Castelsarrasin,12770,13000,230
Hesdin,2272,2500,228
Guise,5173,5400,227
Ollioules,12774,13000,226
